prompt,response
PE1: ERROR,"Actual Issue/Request: Invoice not able post MIRO document
Root Cause: As we checked we can able to post QE1 system
balance not zero hence showing error
Resolution: now user able to post MIRO invoice document.
Closing the ticket as confirmed by user
Please share your feedback on ticket closure using the link https://app.sc.ge.com/surveys/create/569816


Category:User Training
Category-1:Document Posting	
Category-2:Invoice"
Angelo Stagno WO-05845758,"Issue: User Angelo Stagno unable to book timesheet for WO-05845758.

Root Cause: User was not linked to WO.

Resolution: User is able to book timesheet now.

Closure Confirmation:

[16:06] Ukirde, Shubhangi (GE Vernova, consultant)

This is regarding incident GEINC13915510 - Angelo Stagno WO-05845758

[16:08] Piazzini, Corso (FieldCore)

i think it is solved

[16:08] Ukirde, Shubhangi (GE Vernova, consultant)

Oh great, can we close the incident then?

[16:09] Piazzini, Corso (FieldCore)

Yes, please


[Category: User Training]
[Category1: SMAX WO]
[Category2: TIMESHEET]"
MyTech Business Application Support: SAP PMX Gas Power CORA Functional/Tech/Others,"Issue: User was unable to close the project due to multiple issues.

Root Cause: Project closure prerequisite were not followed.

Resolution: Guided user with proper steps.

Closure Confirmation:
[15:38] Ukirde, Shubhangi (GE Vernova, consultant)

Since there is no pending action with me regarding incident GEINC13873463, can you please provide closure confirmation on the same?

[15:46] Parthiban, Logeshwari (GE Vernova, consultant)

Yes

[Category: User Training]
[Category1: Project Closure]
[Category2: WIP]"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: PMAX trembling when initiated
Root Cause:PMAX trembling when initiated
Resolution or Suggested steps: 
Closing the ticket as confirmed by user (attached evidence - confirmation mail from user or screen shot from the chat):
Hi all,

I have problem resolved now since I needed urgent access last week.  A colleague helped me since I needed for UAT sessions that started on Monday this week. 

Please close the case.

[Category: User training
[Category1:Browser issue, GUI issue
[Category2:Clear Cookies, Application
"
error while placing the PO,"Problem Statement : error while placing the PO
RCA : We have provided support central link to user
Solution : We have provided support central link to user

CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816


Category: User Training
Category-1: Document Posting
Category-2: Invoice"
I create sales order with ZDR order type using tcode VA01 every month.,"Problem Statement : I create sales order with ZDR order type using tcode VA01 every month.
RCA : The issue has been resolved, we have provided in detail analysis to user
Solution : The issue has been resolved, we have provided in detail analysis to user

CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816

Category: User Training
Category-1: Document Posting
Category-2: Invoice
"
[SR-FIN-067] Document not picked due to Withhold tax,"Problem Statement : [SR-FIN-067] Document not picked due to Withhold tax
RCA :  We have ran WHT program
Solution : We have ran WHT program, now the documents are picked for the payment

CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816


Category: User Training
Category-1: Document Posting
Category-2: Invoice"
Facing technical issue in banking,"Category : User Training
Category-1 : Document Posting
Category-2 :  Posting-

Actual issue : Facing technical issue in banking

RCA : We are not authorize to change vendor master user needs to reach supplier connect team for vendor master changes.

Solution : We are not authorize to change vendor master user needs to reach supplier connect team for vendor master changes.
We informed to user the same.

Got closure from user."
Route failing from BMS to PMX for 4C14 plant,"Issue: Route failing from BMS to PMX for 4C14 plant.
RC: Activity type an cost center not updated in  KP26 .
Solution : Requested user to update Activity type & cost center in KP26 tcode.
Confirmation : Provided in teams chat.

Category : Master data.
Category 1 : Routing"
"While i am trying to post the invoice in COCO:PUC3, showing an error that need branch code and we don't have any branch code, Could you please ","Prob:lWhile i am trying to post the invoice in COCO:PUC3, showing an error that need branch code
RCA::layout issue
Sol:Changes layout and able to post MJE

[6:00 PM] Kumarnawal, Ankit (GE Vernova, consultant)

Thanks for your help and you can close that ticket.


Category: User Training
category-1:Document Posting
Category-2: Invoice"
fail to access Jul 24-Jul 28 on timesheet,"•	Issue/Request :- fail to access Jul 24-Jul 28 on timesheet
•	Root Cause:- User was unable to scroll further on timesheet submission, User query
•	Solution/Action :- If you want to scroll further, you must call the time sheet again and
enter a different key date.
If you skip the initial screen when calling the time sheet, you can
branch to the initial screen from the time sheet. Choose Goto ->
Initial screen. The initial screen appears and you can enter the key
date you require.

User confirmed closure of this ticket

Closure feedback Link : https://app.sc.ge.com/surveys/create/569816

[Category: Timesheet]
[Category1: PMX]
[Category2: Timesheet query]
"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: https://pmxportal.power.ge.com/irj/portal 
This link not working
Root Cause:https://pmxportal.power.ge.com/irj/portal 
This link not working
Resolution or Suggested steps: 
Closing the ticket as confirmed by user (attached evidence - confirmation mail from user or screen shot from the chat):
[Wednesday 9:41 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

I have sent a mail for your confirmation but no reply from you eswar

[Wednesday 9:41 PM] Kotyada, Eswara N Prasad (GE Vernova)

When did you sent ?

[Wednesday 9:41 PM] Kotyada, Eswara N Prasad (GE Vernova)

Just now ?

[Wednesday 9:42 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

 

 

[Wednesday 9:42 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

on monday

[Wednesday 9:43 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

I have received it on 14th Prasad 

[Wednesday 9:43 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

then I have sent a mail and i have waited for your reply

[Wednesday 9:44 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Could you please check your access and confirm prasad

[Wednesday 9:44 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

may be you have missed mail sir

[Wednesday 9:45 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

please check your access and let me know

[Friday 11:31 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Hello Eswar,

We could see that your access is fine in Pmax system, could you please check and help us with closure confirmation of this ticket.

[Saturday 8:10 AM] Kotyada, Eswara N Prasad(GE Gas Power)

Now it's okay 

[1:17 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Thank you so much for your confirmation Eswar

[1:18 PM] Kotyada, Eswara N Prasad(GE Gas Power)

Np


[Category: User training
[Category1:Browser issue, GUI issue
[Category2:Clear Cookies, Application"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue: WO is not generated for Service Notification# 30100867 task # 23

Root Cause: WO delayed due to processing time in SMAX.

Resolution: WO generated successfully in SMAX.

Closure confirmation:
[13:32] Ukirde, Shubhangi (GE Vernova, consultant)

This is regarding incident GEINC13901415 - WO is not generated for Service Notification# 30100867 task # 23

[13:33] Martinez, Doreen (FieldCore)

Hi

[13:33] Ukirde, Shubhangi (GE Vernova, consultant)

I can see now the WO is generated 

[13:33] Martinez, Doreen (FieldCore)

this is ok

[13:33] Martinez, Doreen (FieldCore)

you may please close the ticket

 like 1

[13:33] Ukirde, Shubhangi (GE Vernova, consultant)

Can we close the incident now?

[13:33] Martinez, Doreen (FieldCore)

thank you

 like 1

[Category: User Training]
[Category1: SMAX]
[Category2: WO]"
"would like to inform you that I,m not able to access the web page of PMX. ","Actual Issue: would like to inform you that I,m not able to access the web page of PMX. 
Root Cause:would like to inform you that I,m not able to access the web page of PMX. 
Resolution or Suggested steps: GUI installed
Closing the ticket as confirmed by user (attached evidence - confirmation mail from user or screen shot from the chat):


[Category: User training
[Category1:Browser issue, GUI issue
[Category2:Clear Cookies, Application
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue: No values found in CJI3

Root Cause: Issue with selection values

Resolution: Corrected selection screen values.

Closure Confirmation:
[12:29] Ukirde, Shubhangi (GE Vernova, consultant)

This is regarding incident GEINC13883393 - No values found in CJI3

[13:07] Cairo, Leonard (FieldCore)

hio

[13:07] Cairo, Leonard (FieldCore)

its now working

[13:07] Ukirde, Shubhangi (GE Vernova, consultant)

Great, shall I close incident!

 heart 1

[13:09] Cairo, Leonard (FieldCore)

You can close the ticket

 like 1

[Category: User Training]
[Category1: Cost Report]
[Category2: Report]"
[NSCI] - PO Change ,"Issue/Request :- Getting the error in PO:4900152085
Solution/Action :- WBS: I01-065916-01001000 status is NOCB (Blocked for Bookings) which used in PO and provided the user details
Closing the ticket as confirmed by user
User's closure confirmation attached

[Category: User training]
[Category1: Purchase order]
[Category2: WBS element blocked]"
PE1: Extra payment line is created,"Actual Issue/Request: 
Could you please advise, I can see extra payment line in debit after
applying the payment to the invoice, tried reversing but it's giving me
the same error.
Root Cause: As we can see customer line item report two items opened and others cleared and 2 are reversed by cleared docs.
Resolution: we had call and provided the all details to user on this customer line item report.

Closing the ticket as confirmed by user
Please share your feedback on ticket closure using the link https://app.sc.ge.com/surveys/create/569816

Category:User Training
Category-1:Document Posting	
Category-2:Invoice"
Please help confirm why the invoice exist block R,"prob:Please help confirm why the invoice exist block R
RCA:invoice verification
Sol:provided sol to user 

[12:01 PM] Zhou, Hong (GE Corporate, consultant)

Thank you for your feedback, no other questions, you can close this ticket


Category-User Training
Category-1-MJE
Category-2
"
[SR-FIN-114]Add company code to collection profile,"Problem Statement : [SR-FIN-114]Add company code to collection profile
RCA : Coco updated in collection profile as per the request, and now changes are in PE1 system.
Solution :   Coco updated in collection profile as per the request, and now changes are in PE1 system.

CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816

Category: User Training
Category-1: Document Posting
Category-2: Invoice"
[SR-FIN-067] Item cannot be paid due to inconsistent withholding tax information-Coco-P1TW,"Problem Statement : [SR-FIN-067] Item cannot be paid due to inconsistent withholding tax information-Coco-P1TW
RCA :  We have ran WHT program for the documents mentioned in the ticket, now the issue is resolved and received closure confirmation
Solution :  We have ran WHT program for the documents mentioned in the ticket, now the issue is resolved and received closure confirmation

CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816

Category: User Training
Category-1: Transactional Data
Category-2: F110, Payment, Invoice

"
[NSCI] - Purchasing group and buyer name not match,"Issue/Request :- Purchasing group and buyer name not match
Solution/Action :- Suggested user to connect with  tableau support team as seems fine from Pmax end.
Closing the ticket as confirmed by user
User's closure confirmation attached

[Category: User training]
[Category1: Purchase order]
[Category2: Pur.grp issue]
"
"[SR-FIN-031] [FI] While trying to post the invoice, showing error that ""AUD/BDT rate BDSR"".","Problem Statement : [SR-FIN-031] [FI] While trying to post the invoice, showing error that ""AUD/BDT rate BDSR"".
RCA : This is TR movement hence we are closing this incident GEINC13871949 and created service ticket GERITM41485521 to create CD
Solution :  This is TR movement hence we are closing this incident GEINC13871949 and created service ticket GERITM41485521 to create CD

Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816

Category: User Training
Category-1: Document Posting
Category-2: Invoice
"
NSCI - PO errorBucheon 509B,"Issue/Request: PE1:

Hi Team,

Issue: not able to amend the PO qty to 1, even after deleting the line 10, after creating new line also, getting an same error

Thanks,
Yuvarani

PO#4102434871

Root cause:  Confirmation needs to updated with Qty 1 firstly.

Solution: Guided in the call to update CCK qty and then PO line item Qty.

Closure Confirmation: User confirmed for closure, hence incident marked as Resolved.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User training]
[Category1: Purchase order ]
[Category2: Qty update]"
logon balancing error after SAP installation,"Category : User Training
Category-1 : Document Posting
Category-2 :  Posting-

Actual issue : logon balancing error after SAP installation

RCA: User facing sap login issue we suggest user to use browse for sap login.

Solution : User facing sap login issue we suggest user to use browse for sap login.

Got closure from user via teams chat."
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: Not able to perform GR in PMx for PO 4102435641. Please help to investigate. Thanks.

[Category: User Training]
[Category1: Goods Receipt]
[Category2: Creation]

Root cause:User trying to post GR for PO for which
  GR already completed for full Qty. 

Solution: Provided RCA to user.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved.
"
[NSCI] - Purchase Order History,"Issue/Request:[NSCI] - Purchase Order History-I'm finding transaction code or report where we can export all purchase order history into one line. example: PO Number, Po Line, material, PO Quality, Material document, Reference, Good receipt,..

[Category: User training]
[Category1:Purchase order]
[Category2: Reporting]

Root cause: User required information on T code  to extract Purchase Order History.
 
Solution: Suggested user to use T code ME80FN for extracting Purchase Order History.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved.
"
[NSCI] User unable to vouch to IFF-900254-02-001-PE," Actual Issue: User unable to vouch to IFF-900254-02-001-PE
Root Cause: Wrong code entered
Resolution or Suggested steps: User solved the issue by himself by putting the correct code.
 
Closing the ticket as confirmed by user 

Please share your feedback on ticket closure using the link -  
https://app.sc.ge.com/surveys/create/569816 
[Category: User training]
[Category 1: Application]
[Category 2: Process]"
[NSCI]PowerMax Screen Resolution,"Issue/Request :-PowerMax Screen Resolution
Solution/Action :- Suggested user to increase font my going to options and increase font size.
Closing the ticket as confirmed by user
User's closure confirmation attached
 
[Category: User training]
[Category1: PowerMax Application ]
[Category2: Font settings ]"
I'd like to change approver since the original approver has resigned. And my sponsor mentions she does not have access to change approver.,"Actual Issue: I'd like to change approver since the original approver has resigned. And my sponsor mentions she does not have access to change approver.
Root Cause:I'd like to change approver since the original approver has resigned. And my sponsor mentions she does not have access to change approver.
Resolution or Suggested steps: CA1-910 role added

Closing the ticket as confirmed by user (attached evidence - confirmation mail from user or screen shot from the chat):




Thank you

Could you kindly tell me when you've update... by Sun, Yipan (GE Vernova, consultant)
Sun, Yipan (GE Vernova, consultant)
7:17 AM

Could you kindly tell me when you've updated the access

Hello Yipan by Srikanthreddy, Kommidi (GE Vernova, consultant)
2:20 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)

Hello Yipan

Good day by Srikanthreddy, Kommidi (GE Vernova, consultant)
2:20 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)

Good day

could you please check now by Srikanthreddy, Kommidi (GE Vernova, consultant)
2:20 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)

could you please check now

Last read
let me have a try by Sun, Yipan (GE Vernova, consultant)
Sun, Yipan (GE Vernova, consultant)
2:20 PM

let me have a try

Successful by Sun, Yipan (GE Vernova, consultant)
Sun, Yipan (GE Vernova, consultant)
2:23 PM

Successful

thank you so much by Sun, Yipan (GE Vernova, consultant)
Sun, Yipan (GE Vernova, consultant)
2:23 PM

thank you so much

Thank you  by Srikanthreddy, Kommidi (GE Vernova, consultant)
2:23 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)

Thank you 

Shall I proceed to close this incident? by Srikanthreddy, Kommidi (GE Vernova, consultant)
2:23 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)


Closing the ticket as confirmed by user (attached evidence - confirmation mail from user or screen shot from the chat):
Shall I proceed to close this incident?

please confirm by Srikanthreddy, Kommidi (GE Vernova, consultant)
2:23 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)

please confirm

Begin Reference, Shall I proceed to close t... by Sun, Yipan (GE Vernova, consultant)
Sun, Yipan (GE Vernova, consultant)
2:23 PM

Srikanthreddy, Kommidi (GE Vernova, consultant)
8/15/2023 2:23 PM
Shall I proceed to close this incident?
sure

Thank you by Srikanthreddy, Kommidi (GE Vernova, consultant)
2:24 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)
Thank you
1 Heart reaction.
1

	[Category: User training
	[Category1:Browser issue, GUI issue
[Category2: Clear Cookies, Application
has context menu"
MyTech Business Application Support: SAP PMX Gas Power CORA Functional/Tech/Others,"Issue: User unable to close projects due to WIP issue.

Root Cause: PAC status was not set on WBS, PAC was mandatory as project was linked to CC PT02.

Resolution: User set PAC status on required WBS and executed project closure pre-requisites.

Closure Confirmation:

[Yesterday 19:48] Parthiban, Logeshwari (GE Vernova, consultant)

GEINC13879634 - Close this ticket

[09:40] Ukirde, Shubhangi (GE Vernova, consultant)

Parthiban, Logeshwari (GE Vernova, consultant)

GEINC13879634 - Close this ticket


Thanks for the confirmation

[Category: User Training]
[Category1: Project Closure]
[Category2: WIP]
"
Application | Need ARM Access,"Actual Issue: Application | Need ARM Access
Root Cause:Application | Need ARM Access
Resolution or Suggested steps: Application | Need ARM Access

Closing the ticket as confirmed by user (attached evidence - confirmation mail from user or screen shot from the chat):Sent a mail confirmation.

[Category: User training
[Category1:Browser issue, GUI issue
[Category2: Clear Cookies, Application
"
IDOC ISSUE,"Issue: User status NOCB is active (WBS IMR-007729-SOSV005203 )

Root Cause: Status NOCB was set on WBS IMR-007729-SOSV005203

Resolution: User to revoke the status NOCB from WBS IMR-007729-SOSV005203

Closure Confirmation: 
[15:59] Ukirde, Shubhangi (GE Vernova, consultant)

Since there is no pending action with us, kindly confirm on incident GEINC13866217 closure.

[15:59] Domalewska, Anna (GE Vernova, consultant)

I confirm

[15:59] Ukirde, Shubhangi (GE Vernova, consultant)

Great, thanks

[Category: User Training]
[Category1: Status Update]
[Category2: WBS]
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue: Open commitment to be cleared. 

Root Cause: PO was open against the project with some value.

Resolution: Guided user to clear open commitment.

Closure Confirmation:
 
[13:44] Parthiban, Logeshwari (GE Vernova, consultant)

GEINC13859159

close this ticket

[13:46] Ukirde, Shubhangi (GE Vernova, consultant)

Sure

[Category: User Training]
[Category1: Open Commitment]
[Category2: Project]
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request :- Vendor 99003776 not yet created by purchasing organization JP33
Root Cause:- Not able to create PO
Solution/Action :- Suggested user to connect with Supplier connect team for vendor related updates.
Closing the ticket as confirmed by user
User's closure confirmation attached

[Category: User training]
[Category1: Vendor]
[Category2: Vendor extension]"
PY1: Issue in PY1-100 reported by 212518142," Issue/Request :- account cant print
	· Root Cause:- Cause Browser issue.
	· Solution/Action :-check this GEINC13856478 duplicate of this  incident. 

Category: User Training
Category-1: Browser issue
Category-2:Cache issue"
SAP GUI installed but no access. Giving error,"Actual Issue: 
Root Cause:
Resolution or Suggested steps: 

Closing the ticket as confirmed by user (attached evidence - confirmation mail from user or screen shot from the chat):

[4:37 PM] Rajput, Shailesh (GE Vernova)

Hi Prantik, Kommidi

[4:37 PM] Rajput, Shailesh (GE Vernova)

Here is Joint chat to get the answer

[4:37 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Thank you 

[4:37 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Jana, Prantik (GE Vernova) please check your access and confirm?

[4:41 PM] JANA, PRANTIK (GE Renewable Energy)

In meeting now. Checking with new access given. Will respond after Checking 

[4:42 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Thank you Prantik

[7:50 PM] JANA, PRANTIK (GE Renewable Energy)

Access working! Thanks for help!

[8:34 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Thank you for your confirmation Prantik

[Category: User training
[Category1:Browser issue, GUI issue
[Category2: Clear Cookies, Application"
Can't access NCRs,"Actual Issue: Can't access NCRs
Root Cause: User was trying from a wrong Application.
Resolution or Suggested steps: Informed user about the correct Application tile to be used.
 
Closing the ticket as confirmed by user 

Please share your feedback on ticket closure using the link -  
https://app.sc.ge.com/surveys/create/569816 

[Category: User training]
[Category 1: Application]
[Category 2: Functionality]"
Access issue,"Actual Issue: Access issue
Root Cause:Access issue
Resolution or Suggested steps: site issue

Closing the ticket as confirmed by user (attached evidence - confirmation mail from user or screen shot from the chat):[Category: User training
[Category1:Browser issue, GUI issue
[Category2: Clear Cookies, Application
"
Please update the name of Magda Maslanka as mentioned in the mail,"Actual Issue: Please update the name of Magda Maslanka as mentioned in the mail
Root Cause:Please update the name of Magda Maslanka as mentioned in the mail
Resolution or Suggested steps:updated the name
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat):attached

[Category: User training
[Category1:Browser issue, GUI issue
[Category2: Clear Cookies, Application"
PY1: Issue in PY1-100 reported by 223021819,"· Issue/Request :- I am unable to filter Solution Provider to me. I checked with another user and I do have Notifications pending my action as Solution Provider but platform states no data and I am not able to view.
	· Root Cause:- User facing issue.
	· Solution/Action :-Suggested user to clear the browser cache and working fine. ""Closing the ticket as confirmed by user""
Please share your feedback on ticket closure using the link https://app.sc.ge.com/surveys/create/569816

Category: User Tarining
Category-1: Browser Issue
Category-2:Cache"
EVENT_PI - MTA failed Report in PE1 System : Batch executed for Root Cause: MTA,"Issue/Request:

EVENT_PI - SupplierNet failed Report in PE1 System : Batch executed for Root Cause: SupplierNet


RCA: NA
		
Solution: Contacted the buyer to retrigger the ZSN on PO output to reach the supplier net.
		
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User Training]
[Category1: Purchase Order]
[Category2: Pricing condition]
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: See 'Notes' to view attached files: Weingartner Currency Issue.pdf 
PR/PO's created to Weingartner (Supplier ID T30771) are converting to EUR instead of USD.  The correct currency is USD.  Please update the system to avoid issues with future orders.
Vendor # 10774045
SCx ID/Legacy GSL ID = N47469
Address ID/LEgacy Site Code = 101
Ariba Network ID = AN01478725504
Purchasing Org = US83
Company Code = P4C1

[Category: User training]
[Category1: Vendor master]
[Category2: Purchase Document currency]

Root cause: User training. Purchase document derives order currency from vendor.

Solution: Provided user with information that vendor was already updated with currency USD and after that all the PO's created with currency USD. Hence user confirmed closure.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request :- MR Alan Mazurowski is unable to approve this PO 4102444656
Root Cause:- PO: 4102444656 approval link has been sent to Alan Mazurowski.
Solution/Action :- Provided approval links to approver and PO approved successfully.
Closing the ticket as confirmed by user
User's closure confirmation attached

[Category: User training]
[Category1: Purchase order]
[Category2: Release strategy]
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request :- supplier 10769477 promigun in org IL32 is blocked
Root Cause:- Getting error in PO creation
Solution/Action :- Suggested user to connect with Supplier connect team for vendor related updates.
Closing the ticket as confirmed by user
User's closure confirmation attached

[Category: User training]
[Category1: Vendor]
[Category2: Unblock the vendor]"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue: Unable to close project EHN-908

Root Cause: RA not executed for all RA versions.

Resolution: RA executed by user for all RA versions.

Closure Confirmation:
[Monday 22:52] Ukirde, Shubhangi (GE Vernova, consultant)

GEINC13838693 - Project Mentioned in this incident is EHN-000908, which as per your list is already closed, can you confirm on this incident closure as well?

[Tuesday 00:31] De Oliveira Cunha, Renata (GE Vernova)

GEINC13838693 it is ok, can close as well..

[Category: User Training]
[Category1: PS Master Data]
[Category2: Project Closure]"
MyTech Business Application Support: EventVision,"Issue: Requested SO details for project IFF-000848

Root Cause: EV team unable to access SO data in PMAX

Resolution: Data shared with EV team.

Closure Confirmation: 
[16:14] Ukirde, Shubhangi (GE Vernova, consultant)

Can I close task GEINCTASK21882343, as there is no pending action?

[16:15] Rade, Nikita (GE Vernova, consultant)

You can close the task.

[Category: User Training]
[Category1: PS Sales Orders]
[Category2: PS Sales Orders]"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: unable to open PMX
Root Cause:unable to open PMX
Resolution or Suggested steps: unable to open PMX

Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

[Yesterday 9:22 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Hello Logeshwari

[Yesterday 9:23 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Good day!!

[Yesterday 9:23 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

GEINC13840267

[Yesterday 9:23 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

reg I have contacted you 

[Yesterday 9:23 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

are you able access Pmax

[Yesterday 9:23 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

?

[11:06 AM] Parthiban, Logeshwari (GE Vernova, consultant)

Hi

[2:32 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

You are raised GEINC13840267 for Sap issue

[2:32 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

is it solved now?

[2:32 PM] Parthiban, Logeshwari (GE Vernova, consultant)

Yes

[2:33 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Great, thanks!

[2:36 PM] Parthiban, Logeshwari (GE Vernova, consultant)

You're welcome.

[Category: User training
[Category1:Browser issue, GUI issue
[Category2: Application

"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: Hello, i cannot create PO it shows error. Pls help. 

Root Cause: Material master was not extended with all views in coco

Resolution or Suggested steps: Suggested user to get in touch with the colleague who has the access and get the material code extended.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User training]
[Category1: Purchase Order]
[Category2: Creation]"
PY1: Issue in PY1-100 reported by 212518142,"· Issue/Request :- account cant print
	· Root Cause:- Cause Browser issue.
	· Solution/Action :-check this GEINC13856478 duplicate of this  incident. 

Category: User Training
Category-1: Browser issue
Category-2:Cache issue"
EVENT_PI - MTA failed Report in PE1 System : Batch executed for Root Cause: MTA,"Issue/Request: 

EVENT_PI - MTA failed Report in PE1 System : Batch executed for Root Cause: MTA


RCA: NA
		
Solution: mail sent to the buyer to retrigger ZSUMO  output. ZSUM retriggered now.
		
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved.

[Category: User Training]
[Category1: Purchase Order]
[Category2: Pricing condition]"
PE1: update supplier /customer address,"Issue/Request: PE1:

The supplier address for the supplier ID 10712895 in purchasing org US71
needs to be udpated:
from:   1  Immigration Street; Charleston SC  29492
to:     4756 Hwy 78          ; St George SC 29477

Also, The customer Address for the Customer ID 20064304 needs to be
updated
from:   1  Immigration Street; Charleston SC  29492
to:     4756 Hwy 78          ; St George SC 29477

[Category: User Training]
[Category1: Vendor master/customer master]
[Category2: Address update]


Root cause:  NA

Solution: for vendor master update guided user to coonect with GE scx and for customer master update give list of users who is having access to update master data in PE1

Closure Confirmation: User confirmed for closure, hence incident marked as Resolved.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User Training]
[Category1: Vendor master/customer master]
[Category2: Address update]
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: PE1:

See 'Notes' to view attached files: PR issue.JPG 
Issue in PR that "" user already processing PR"".....while punching PO this error occurring but I m already out from PR 

Root cause:  PR locked in SM12

Solution: contacted the basis team unlock the PR and then buyer able to create the PO with ref to the PR.

Closure Confirmation: User confirmed for closure, hence incident marked as Resolved.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User Training]
[Category1: Purchase Order]
[Category2: PO creation]
"
[SR-FIN-067] Item cannot be paid due to inconsistent withholding tax information,"Problem Statement : [SR-FIN-067] Item cannot be paid due to inconsistent withholding tax information
RCA :  as per user comments the invoice has been picked for payment at today's payment run, so there is no issue and received closure confirmation from user
Solution :  as per user comments the invoice has been picked for payment at today's payment run, so there is no issue and received closure confirmation from user

CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816

Category: User Training
Category-1: Document Posting
Category-2: Invoice
"
 [NSCI]-PO to GE Hangzhou for B4D0 and B4C0 of SHADY HILL,"Issue/Request:  [NSCI]-PO to GE Hangzhou for B4D0 and B4C0 of SHADY HILL.Please support on the issue as user unable to place PO.

[Category: User training]
[Category1: Purchase order]
[Category2: Creation]

Root cause: User training. Error was a warning message.
 
Solution: Guided user on PO creation .PO was created by ignoring  the Error since it was a warning message.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
